 ,Common name,Common name 2,Common name 3,Phylum,Class,Order,Family,Genus,domestic/managed/wild,domestic/managed/wild 2,Ruminant/non-ruminant,Type (grazer/browser/mixed feeder),Type notes,Avg species weight (kg),Notes on Weight,Avg species shoulder height (cm),Notes on Shoulder Height,Even or odd toed?,Citation,Native habitat,Biome 1,Biome 2,Biome 3,Biome 4,Biome 5,Continent 1,Continent 2,Continent 3,Country 1,Country 2,Country 3,Country 4,Country 5+,Range Notes,Temperature Regime (ArcGIS),Temperate Regime 2,Temperate Regime 3,Temperate Regime 4,Temperate Regime 5,IUCN Status,IUCN reason,URL,Notes
Blastocerus dichotomus,Marsh deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Blastocerus,Wild,,Ruminant,Grazer,,90,70-110,115,110-120,Even-toed,Ungulates of the World (website),Floodplains & tropical rainforests,tropical rainforest,freshwater,,,,South America,,,Brazil,Paraguay,Argentina,Uruguay,,Central South America,sub tropical,,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Blastocerus_dichotomus.html,
Capreolus capreolus,European roe deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus,Wild,,Ruminant,Mixed feeder,,26,22-30,74.5,66-83,Even-toed,"Sempere, A. et al. 1996, Tixier, H. & Duncan, P. 1996",Steppe forests & grasslands,temperate forest,grassland,,,,Europe,Asia,,,,,,,"Mainland Europe, Asia Minor",warm temperate dry,cool temperate,,,,Least Concern,,https://bioone.org/journals/annales-zoologici-fennici/volume-52/issue-5%e2%80%936/086.052.0508/Expansion-and-Current-Status-of-Roe-Deer-Capreolus-capreolus-at/10.5735/086.052.0508.full,
Capreolus pygargus,Siberian roe deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus,Wild,,Ruminant,Mixed feeder,,41,34-48,86,81-91,Even-toed,"Danilkin, A. 1995","Steppe forests, grasslands, & floodplains",temperate forest,grassland,freshwater,,,Asia,Europe,,,,,,,Asia & eastern Europe,warm temperate dry,cool temperate,boreal,,,Least Concern,,,
Hippocamelus antisensis,Peruvian guemal,,,Chordata,Mammalia,Artiodactyla,Cervidae,Hippocamelus,Wild,,Ruminant,Mixed feeder,"lichens, mosses, herbs, grasses",55,45-65,84.5,78-91,Even-toed,Ungulates of the World (website),Mountains & alpine grasslands,grassland,,,,,South America,,,Ecuador,Peru,Brazil,Bolivia,"Chile, Argentina",Northern Andes Mountains,tropical,sub tropical,warm temperate dry,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Hippocamelus_antisensis.html,
Hippocamelus bisulcus,Patagonian huemu,,,Chordata,Mammalia,Artiodactyla,Cervidae,Hippocamelus,Wild,,Ruminant,Browser,,85,70-100,85,80-90,Even-toed,Ungulates of the World (website),Alpine forest & scrubland,boreal forest,shrubland,,,,South America,,,Chile,Argentina,,,,Southern Andes Mountains,warm temperate dry,cool temperate,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Hippocamelus_bisulcus.html,
Mazama americana,Red brocket,,,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,Wild,,Ruminant,Mixed feeder,,20.5,16-25,70,69-71,Even-toed,Ungulates of the World (website),Tropical rainforest & jungles,tropical rainforest,,,,,South America,North America,,Mexico,Guatemala,Belize,El Salvador,"Honduras, Nicaragua, Costa Rica, Panama, Colombia, Venezuela, Guyana, Suriname, French Guiana, Brazil, Ecuador, Peru, Bolivia, Paraguay, Argentina",Central & South America,tropical,sub tropical,warm temperate dry,,,Data Deficient,,http://www.ultimateungulate.com/Artiodactyla/Mazama_americana.html,
Mazama bororo,Small red brocket,Bororo,,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,Wild,,Ruminant,Unknown,,24,18-30,57.5,35-80,Even-toed,"Vogliotti, A. & Duarte, J. M. 2009, rolle, M., and L. H. Emmons (2004). A record of a dwarf brocket from lowland Madre de Dios, Peru.",Seasonal tropical forest,tropical rainforest,,,,,South America,,,Brazil,,,,,Southern Atlantic rain forest,sub tropical,warm temperate dry,,,,Vulnerable,,,
Mazama bricenii,Grey dwarf brocket,,,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,Wild,,Ruminant,Unknown,,10.5,8-13,47.5,45-50,Even-toed,"Lizcano, D. J. et al. 2010 (1)",Alpine cloud forest & scrubland (páramos),boreal forest,shrubland,,,,South America,,,Colombia,Venezuela,,,,"Northern South America, incl. Venezuela & Columbia",tropical,,,,,Vulnerable,,,
Mazama chunyi,Dwarf brocket,,,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,Wild,,Ruminant,Browser,,Unknown,,Unknown,,Even-toed,"Rumíz, D. I. et al. 2010","Alpine cloud forest, scrubland, & grassland",boreal forest,shrubland,grassland,,,South America,,,Bolivia,Peru,,,,Eastern South America,tropical,,,,,Vulnerable,,,
Mazama gouazoubira,Brown brocket,,,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,Wild,,Ruminant,Browser,,13,11-25,52.5,50-65,Even-toed,"Black-Décima, P. et al. 2010",Low secondary woodlands & grasslands,grassland,woodland,,,,South America,,,Bolivia,Argentina,Paraguay,Uruguay,Brazil,Western South America,tropical,sub tropical,warm temperate dry,,,Least Concern,,,
Mazama nana,Lesser brocket,,,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,Wild,,Ruminant,Unknown,,15,<15,45,<45,Even-toed,"Abril, V. V. et al. 2010",Alpine secondary forests (capueras),boreal forest,,,,,South America,,,Brazil,Paraguay,Argentina,,,"Eastern South America, incl. southern Brazil, northeast Argentina, & eastern Paraguay",sub tropical,warm temperate dry,,,,Vulnerable,,,
Mazama nemorivaga,Amazonian brown brocket,,,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,Wild,,Ruminant,Browser,,15,14-16,50,49-51,Even-toed,"Rossi, R. V. et al. 2010","Tropical & subtropical broadleaf moist forests, incl. non-flooded Amazon rain forest",tropical rainforest,temperate forest,,,,South America,,,Colombia,Venezuela,Ecuador,Peru,"Guyana, Suriname, French Guiana, Brazil, Bolivia",Northern South America,tropical,sub tropical,,,,Least Concern,,,
Mazama pandora,Yucatan brown brocket,,,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,Wild,,Ruminant,Browser,,20.5,16–25,Unknown,,Even-toed,"Weber, M. & Medellín, R. 2010",Tropical evergreen forests,temperate forest,,,,,North America,,,Mexico,Belize,Guatemala,,,Central America (Yucatan),tropical,,,,,Vulnerable,,,
Mazama rufina,Little red brocket,,,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,Wild,,Ruminant,Grazer,,12.5,10-15,45,<45,Even-toed,"Lizcano, D. J. et al. 2010 (2)",Tropical alpine cloud forests & grasslands (páramos),boreal forest,,,,,South America,,,Colombia,Ecuador,Peru,,,"Northwestern South America, incl. Colombia, Ecuador & Peru",tropical,sub tropical,warm temperate dry,,,Vulnerable,,,
Mazama temama,Mexican red brocket,,,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,Wild,,Ruminant,Browser,,38.5,12-65 ,69,58-80,Even-toed,"Varela, D. M. et al. 2010","Lowland & alpine tropical & subtropical forests, grasslands",tropical rainforest,temperate forest,boreal forest,grassland,,South America,,,Mexico,Guatemala,Belize,El Salvador,"Honduras, Nicaragua, Costa Rica, Panama, Colombia",Northern South America,tropical,sub tropical,warm temperate dry,,,Data Deficient,,,
Odocoileus hemionus,Mule deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,Wild,,Ruminant,Mixed feeder,,110,70-150,100,100,Even-toed,"Anderson, A. & Wallmo, O. 1984","Temperate deciduous forests, boreal forests, coastal rainforests, grasslands, scrublands, mountains, & deserts",tropical rainforest,temperate forest,boreal forest,grassland,desert,North America,,,Canada,United States,Mexico,,,Western North America,sub tropical,warm temperate dry,cool temperate,boreal,,Least Concern,,,
Odocoileus virginianus,White-tailed deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,Wild,,Ruminant,Mixed feeder,,56.5,45-68,79.5,53-106,Even-toed,"Smith, W. 1991","Boreal forests, temperate deciduous forests, coastal rainforests, mountains, scrubland, grasslands, wetlands, & tropical forests",tropical rainforest,temperate forest,boreal forest,grassland,desert,North America,South America,,Canada,United States,Mexico,Colombia,"Venezuela, Guyana, Suriname, French Guiana, Peru, Ecuador, Bolivia, New Zealand, Czech Republic, Finland, Romania, Serbia, Germany, France","North America, Central America, South America",tropical,sub tropical,warm temperate dry,cool temperate,boreal,Least Concern,,,
Ozotoceros bezoarticus,Pampas deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Ozotoceros,Wild,,Ruminant,Mixed feeder,,35,30-40,50,40-60,Even-toed,"González, S. et al. 2010, Jackson, J. E. 1987","Lowland grasslands, incl. pampas grasslands & savannas",grassland,savanna,,,,South America,,,Brazil,Bolivia,Paraguay,Argentina,Uruguay,"South America, incl. southern Brazil, Paraguay, Uruguay, & northern Argentina",tropical,sub tropical,warm temperate dry,,,Near Threatened,,,
Pudu mephistophiles,Northern pudu,,,Chordata,Mammalia,Artiodactyla,Cervidae,Pudu,Wild,,Ruminant,Browser,,6,5-7,32.5,25-40,Even-toed,"Loyola, L. et al. 2010",Alpine cloud forest & scrubland (páramos),boreal forest,shrubland,,,,South America,,,Venezuela,Colombia,Ecuador,Peru,,"Northern Andes Mountains, South America",tropical,sub tropical,warm temperate dry,,,Data Deficient,,,
Pudu puda,Southern pudu,,,Chordata,Mammalia,Artiodactyla,Cervidae,Pudu,Wild,,Ruminant,Browser,,12,9-15,36.5,35-38,Even-toed,Ungulates of the World (website),Alpine forests,boreal forest,,,,,South America,,,Chile,Argentina,,,,"Southern Andes Mountains, South America",warm temperate dry,cool temperate,,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Pudu_puda.html,
Rangifer tarandus,Caribou,Reindeer,,Chordata,Mammalia,Artiodactyla,Cervidae,Rangifer,Wild,Managed,Ruminant,Browser,,189,60-318,113.5,87-140,Even-toed,Ungulates of the World (website),Arctic tundra & boreal forests,boreal forest,,,,,North America,Europe,Asia,Canada,United States,Greenland,Russia,"Finland, Sweden, Norway","North America, Europe, Asia",cool temperate,boreal,polar,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Rangifer_tarandus.html,
Axis axis,Chital,,,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,Wild,,Ruminant,Mixed feeder,,65,45-85,87.5,75-100,Even-toed,Ungulates of the World (website),Deciduous forests & grasslands,temperate forest,grassland,,,,Asia,,,India,Sri Lanka,Bhutan,Bangladesh,,"South Asia, incl. India & Sri Lanka",tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Axis_axis.html,
Axis calamianensis,Calamian deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,Wild,,Ruminant,Mixed feeder,,31.5,23-40,65,60-70,Even-toed,Ungulates of the World (website),Open deciduous forests & grasslands,temperate forest,grassland,,,,Asia,,,Phillippines,,,,,"Calamian Islands (Busuanga, Calauit, & Culion), Southeast Asia",tropical,,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Axis_calamianensis.html,
Axis kuhlii,Bawean deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,Wild,,Ruminant,Mixed feeder,,60,50-70,67/5,65-70,Even-toed,Ungulates of the World (website),Secondary rainforests,tropical rainforest,,,,,Asia,,,Indonesia,,,,,"Bawean Island, Indonesia",tropical,,,,,Critically Endangered,,http://www.ultimateungulate.com/Artiodactyla/Axis_kuhlii.html,
Axis porcinus,Hog deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,Wild,,Ruminant,Mixed feeder,,40,30-50,65,60-70,Even-toed,Ungulates of the World (website),Floodplains & wet grasslands,grassland,freshwater,,,,Asia,,,Pakistan,India,Myanmar,,,"Pakistan, Myanmar, Himalayan Mountains (foothills)",tropical,sub tropical,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Axis_porcinus.html,
Cervus elaphus,Red deer,American elk,Wapiti,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Wild,,Ruminant,Mixed feeder,,202.5,150-255,118,114-122,Even-toed,"Macdonald, D. W. & Barrett, P. 1993","Boreal forests, temperate deciduous forests, grasslands, moors, & scrublands",temperate forest,boreal forest,grassland,shrubland,,Europe,,,,,,,,Central & Southern Europe,warm temperate dry,cool temperate,,,,Least Concern,,,
Cervus nippon,Sika,Japanese deer,,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Wild,,Ruminant,Mixed feeder,,67.5,25-110,87.5,65-110,Even-toed,Ungulates of the World (website),"Deciduous forests, grasslands, marshes",temperate forest,grassland,,,,Asia,,,China,North Korea,South Korea,Japan,Russia,"Eastern Asia, incl. China & Japan",sub tropical,warm temperate dry,cool temperate,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Cervus_nippon.html,
Dama dama,Fallow deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Dama,Wild,,Ruminant,Mixed feeder,,55.5,44-67,95,90-100,Even-toed,"Feldhamer, G. A. et al. 1988",Deciduous forests & grasslands,temperate forest,grassland,,,,Europe,,,,,,,,Southern Europe & Middle East,warm temperate dry,cool temperate,sub tropical,,,Least Concern,,,
Dama mesopotamica,Persian fallow deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Dama,Wild,,Ruminant,Unknown,,Unknown,,Unknown,,Even-toed,"Saltz, D., David, S. B., Zidon, R., Dolev, A., Perelberg, A., King, R., & Berger-Tal, O. (2011). Reintroducing the Persian fallow deer Dama mesopotamica in Israel–a chronology. Animal Production Science, 51(4), 251-258.",Woodlands,woodland,,,,,Asia,,,Iran,Israel,,,,Middle East,tropical,sub tropical,warm temperate dry,,,Endangered,,,
Elaphodus cephalophus,Tufted deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Elaphodus,Wild,,Ruminant,Grazer,,33.5,17-50,60,50-70,Even-toed,Ungulates of the World (website),Alpine forests,boreal forest,,,,,Asia,,,China,India,Nepal,,,"Asia, incl. China",tropical,sub tropical,warm temperate dry,cool temperate,polar,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Elaphodus_cephalophus.html,
Elaphurus davidianus,Pere David's deer,Milu,,Chordata,Mammalia,Artiodactyla,Cervidae,Elaphurus,Managed,,Ruminant,Grazer,,135,135,120,120,Even-toed,,Grasslands & wetlands,grassland,,,,,Asia,,,China,,,,,"Northeastern China, Asia",sub tropical,warm temperate dry,,,,Extinct in Wild,,http://www.ultimateungulate.com/Artiodactyla/Elaphurus_davidianus.html,
Muntiacus atherodes,Bornean yellow muntjac,,,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Wild,,Ruminant,Mixed feeder,,15.6,13.5-17.7,50,<50,Even-toed,Ungulates of the World (website),Moist tropical forests,tropical rainforest,,,,,Asia,,,Indonesia,,,,,"Borneo, Indonesia",tropical,sub tropical,,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Muntiacus_atherodes.html,
Muntiacus crinifrons,Black muntjac,,,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Wild,,Ruminant,Mixed feeder,,28.7,21.3-36.1,Unknown,,Even-toed,Animal Diversity (website),Alpine forests,boreal forest,,,,,Asia,,,China,,,,,"Eastern Asia, incl. China & southeast Asia",sub tropical,warm temperate dry,,,,Vulnerable,,https://animaldiversity.org/accounts/Muntiacus_crinifrons/,
Muntiacus feae,Fea's muntjac,,,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Wild,,Ruminant,Mixed feeder,,22,22,61,57-65,Even-toed,Animal Diversity (website),Moist subtropical deciduous & evergreen forests,tropical rainforest,temperate forest,,,,Asia,,,Myanmar,Thailand,,,,"Southeast Asia, incl. Myanmar & Thailand",tropical,sub tropical,,,,Data Deficient,,https://animaldiversity.org/accounts/Muntiacus_feae/,
Muntiacus gongshanensis,Gongshan muntjac,,,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Wild,,Ruminant,Unknown,,20,16-24,Unknown,,Even-toed,"Ma, S. et al. 1990",Alpine forests,boreal forest,,,,,Asia,,,China,India,Myanmar,,,"Southern Asia, incl. China",sub tropical,warm temperate dry,,,,Data Deficient,,,
Muntiacus montanus,Sumatran muntjac,,,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Wild,,Ruminant,Unknown,,Unknown,,Unknown,,Even-toed,,Unknown,,,,,,Asia,,,Indonesia,,,,,"Sumatra, Asia",tropical,sub tropical,,,,Data Deficient,,,Disputed sub-species of M. muntjak
Muntiacus muntjak,Red muntjac,,,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Wild,,Ruminant,Mixed feeder,,24.5,14-35,52.5,40-65,Even-toed,"Ilyas, O., & Khan, J.A. 2003, Animal Diversity (website)",Tropical & subtropical rainforests,tropical rainforest,,,,,Asia,,,India,Sri Lanka,Nepal,Bangladesh,"Bhutan, Myanmar, Thailand, Laos, Vietnam, Cambodia, Brunei, Malaysia, Indonesia, Singapore","Central & Southeast Asia, incl. Pakistan, India, Nepal, & southern China",tropical,sub tropical,,,,Least Concern,,https://animaldiversity.org/accounts/Muntiacus_muntjak/,
Muntiacus puhoatensis,Pu Hoat muntjac,,,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Wild,,Ruminant,Unknown,,Unknown,,Unknown,,Even-toed,Encyclopedia of Life (website),Subtropical forests,tropical rainforest,,,,,Asia,,,Vietnam,,,,,Vietnam,sub tropical,,,,,Data Deficient,,https://eol.org/pages/7240299,
Muntiacus putaoensis,Leaf deer,,,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Wild,,Ruminant,Browsers,,12.35,11.1-13.6,43.75,41-46.5,Even-toed,"Rabinowitz, A. et al. 1999",Alpine forests,boreal forest,,,,,Asia,,,Myanmar,India,,,,Central Asia,tropical,sub tropical,,,,Data Deficient,,,
Muntiacus reevesi,Reeves's muntjac,,,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Wild,,Ruminant,Mixed feeder,,13.5,11-16,45,40-50,Even-toed,"Ungulates of the World (website), Mammal Species of the World (website)",Deciduous forests,temperate forest,,,,,Asia,,,China,,,,,"Southern China & Taiwan, Asia",sub tropical,warm temperate dry,,,,Least Concern,,"http://www.departments.bucknell.edu/biology/resources/msw3/browse.asp?id=14200419 , http://www.ultimateungulate.com/Artiodactyla/Muntiacus_reevesi.html",
Muntiacus rooseveltorum,Roosevelt's muntjac,,,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,Wild,,Ruminant,Unknown,,Unknown,,Unknown,,Even-toed,,Unknown,,,,,,Asia,,,Laos,Vietnam,,,,Southeast Asia,tropical,sub tropical,,,,Data Deficient,,,Disputed sub-species of M. feae
