Taxonomic Status - Note,Family,Accepted Plant Name,Accepted Genus Name,Accepted Species Name,Reported Latin Name,Reported Genus Name,Reported Species Name,Reported Synonym 1,Reported Synonym 2,Reported Synonym 3,# of Herbivores,Herbivore Common Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biome 1,Biome 1,Biome 2,Biome 3,Plant Habit,Annual/Perrenial,"Height (m) (3106, 3107)",Leaf Dry Matter Content (g/g-1) (47),"SLA (mm2/mg-1) (3115, 3116, 3117)",Flower size (cm2) (if applicable) (913),Fruit Producing (Y/N),Fruit Size (if applicable) (919),Seed Size (mg) (if applicable) (26),Nitrogen Content (mg/g) (14),Cultivated (Y/N),Physical defense (if applicable)  (345),Chemical defense (if applicable) (346),Main part of plant consumed,Congener Used (if applicable),Citations (herbivore diet),,,Citation (plant traits),Citation
Accepted,Acanthaceae,Hygrophila guianensis,Hygrophila,guianensis,Hygrophila guianensis,Hygrophila,guianensis,,,,1,Marsh Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Hygrophila pobeguinii,Hygrophila,pobeguinii,Hygrophila pobeguinii,Hygrophila,pobeguinii,,,,1,Bushbuck,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Hypoestes aristata,Hypoestes,aristata,Hypoestes aristata,Hypoestes,aristata,,,,2,Mountain nyala,Bongo,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Hypoestes forskaolii,Hypoestes,forskaolii,Hypoestes forskaolii,Hypoestes,forskaolii,,,,2,Bongo,Menelik's bushbuck,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Hypoestes triflora,Hypoestes,triflora,Hypoestes triflora,Hypoestes,triflora,,,,1,Mountain nyala,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Justicia,Justicia,NA,Justicia,Justicia,NA,,,,2,Baird's Tapir,Wild yak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Justicia adhatoda,Justicia,adhatoda,Justicia adhatoda,Justicia,adhatoda,Adhatoda zeylanica,,,3,Gray goral,Asian water buffalo,Urial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Justicia aurea,Justicia,aurea,Justicia aurea,Justicia,aurea,,,,1,Baird's Tapir,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Justicia comata,Justicia,comata,Justicia comata,Justicia,comata,,,,1,Lowland Tapir,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Justicia diclipteroides,Justicia,diclipteroides,Justicia diclipteroides,Justicia,diclipteroides,,,,1,Bongo,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Justicia exigua,Justicia,exigua,Justica exigua,Justica,exigua,,,,1,Bushbuck,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Justicia flava,Justicia,flava,Justicia flava,Justicia,flava,,,,1,Bushbuck,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Justicia potarensis,Justicia,potarensis,Justicia potarensis,Justicia,potarensis,,,,1,Lowland Tapir,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Justicia protracta,Justicia,protracta,Justicia protacta,Justicia,protacta,,,,1,Red Duiker,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Justicia schimperiana,Justicia,schimperiana,Justicia schimperiana,Justicia,schimperiana,,,,1,Bushbuck,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Justicia simplex,Justicia,simplex,Justicia simplex,Justicia,simplex,,,,1,Four-horned antelope or chousingha,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Justicia squarrosa,Justicia,squarrosa,Justicia squarrosa,Justicia,squarrosa,,,,1,Grey Brocket Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Mendoncia,Mendoncia,NA,Mendoncia sp.,Mendoncia,NA,,,,1,Grey Brocket Deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Monechma monechmoides,Monechma,monechmoides,Monechma monechmoides,Monechma,monechmoides,,,,1,Impala,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Odontonema,Odontonema,NA,Odontonema sp.,Odontonema,NA,,,,1,Baird's Tapir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Peristrophe bicalyculata,Peristrophe,bicalyculata,Peristrophe bicalyculata,Peristrophe,bicalyculata,,,,1,Chital,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Phlogacanthus,Phlogacanthus,NA,Phlogacanthus sp,Phlogacanthus,NA,,,,1,Four-horned antelope or chousingha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Ruellia,Ruellia,NA,Ruellia sp.,Ruellia,NA,,,,1,Grey Brocket Deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Ruellia californica,Ruellia,californica,Ruellia californica,Ruellia,californica,,,,1,Bighorn Sheep,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Ruellia patula,Ruellia,patula,Ruellia patella,Ruellia,patella,,,,1,Southern reedbuck,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Stenostephanus,Stenostephanus,NA,Stenostephanus spp.,Stenostephanus,NA,,,,1,Mexican red brocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Strobilanthes,Strobilanthes,NA,Strobilantres spp.,Strobilantres,NA,,,,1,Himalayan Serow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Strobilanthes kunthiana,Strobilanthes,kunthiana,Strobilanthus kunthianas,Strobilanthus,kunthianas,,,,1,Nilgiri tahr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Strobilanthes tomentosa,Strobilanthes,tomentosa,Strobilanthus gossypinus,Strobilanthus,gossypinus,,,,1,Nilgiri tahr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Thunbergia alata,Thunbergia,alata,Thunbergia alata,Thunbergia,alata,,,,1,Bongo,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Thunbergia atriplicifolia,Thunbergia,atriplicifolia,Thunbergia atriplicifolia,Thunbergia,atriplicifolia,,,,1,Steenbok,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Achariaceae,Mayna odorata,Mayna,odorata,Mayna odorata,Mayna,odorata,,,,1,Lowland Tapir,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Actinidiaceae,Saurauia,Saurauia,NA,Saurauia spp.,Saurauia,NA,,,,1,Mexican red brocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Actinidiaceae,Saurauia leprosa,Saurauia,leprosa,Saurauia leprosa,Saurauia,leprosa,,,,1,Malayan Tapir,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Actinidiaceae,Saurauia madrensis,Saurauia,madrensis,Saurauia madrensis,Saurauia,madrensis,,,,1,Baird's Tapir,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Actinidiaceae,Saurauia matudae,Saurauia,matudae,Saurauia matudai,Saurauia,matudai,,,,1,Baird's Tapir,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Aizoaceae,Eberlanzia spinosa,Eberlanzia,spinosa,Eberlanzia spinosa,Eberlanzia,spinosa,,,,1,Springbok,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davies et al 1986,,,,
Accepted,Aizoaceae,Galenia cymosa,Galenia,cymosa,Galenia cymosa,Galenia,cymosa,,,,1,Nyala,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Aizoaceae,Galenia procumbens,Galenia,procumbens,Galenia procumbens,Galenia,procumbens,Galenia namaensis,,,1,Springbok,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davies et al 1986,,,,
Accepted,Aizoaceae,Mestoklema tuberosum,Mestoklema,tuberosum,Delosperma fuberosum,Delosperma,fuberosum,Mesembryanthemum tuberosum,,,1,Springbok,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,Scrubland,,,,Shrub,Perennial,,,,,,,,,,,,,,Davies et al 1986,,,"Kattge, J, Boenisch, G, Diaz, S, et al. TRY plant trait database - enhanced coverage and open access. Glob Change Biol. 2020; 26: 119-188. https://doi.org/10.1111/gcb.14904 as the TRY reference.",
Accepted,Aizoaceae,Plinthus karooicus,Plinthus,karooicus,Plinthus karooicus,Plinthus,karooicus,,,,1,Springbok,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davies et al 1986,,,"Kattge, J, Boenisch, G, Diaz, S, et al. TRY plant trait database - enhanced coverage and open access. Glob Change Biol. 2020; 26: 119-188. https://doi.org/10.1111/gcb.14904 as the TRY reference.",
Accepted,Aizoaceae,Psilocaulon absimile,Psilocaulon,absimile,Psilocaulon absimile,Psilocaulon,absimile,,,,1,Springbok,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,Forb,,,,,,,,,,,,,,,Bigalke 1972,Davies et al 1986,,"Kattge, J, Boenisch, G, Diaz, S, et al. TRY plant trait database - enhanced coverage and open access. Glob Change Biol. 2020; 26: 119-188. https://doi.org/10.1111/gcb.14904 as the TRY reference.",
Accepted,Aizoaceae,Tetragonia arbuscula,Tetragonia,arbuscula,Tetragonia arbuscula,Tetragonia,arbuscula,,,,1,Springbok,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davies et al 1986,,,,
Accepted,Aizoaceae,Tetragonia decumbens,Tetragonia,decumbens,Tetragonia decumbens,Tetragonia,decumbens,,,,1,Bushbuck,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Aizoaceae,Trianthema crystallina,Trianthema,crystallina,Trianthema crystallina,Trianthema,crystallina,,,,1,Blackbuck,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Aizoaceae,Trianthema portulacastrum,Trianthema,portulacastrum,Trianthema portulacastrum,Trianthema,portulacastrum,,,,1,"Indian gazelle, chinkara",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Aizoaceae,Trichodiadema pomeridianum,Trichodiadema,pomeridianum,Trichodiadema pomeridianurn,Trichodiadema,pomeridianurn,,,,1,Springbok,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Davies et al 1986,,,,
Accepted,Aizoaceae,Zaleya pentandra,Zaleya,pentandra,Zaleya pentandra,Zaleya,pentandra,,,,1,Bushbuck,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Alismataceae,Echinodorus paniculatus,Echinodorus,paniculatus,Echinodorus paniculatus,Echinodorus,paniculatus,,,,1,Marsh Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Alismataceae,Hydrocleys nymphoides,Hydrocleys,nymphoides,Hydrocleis nymphoides,Hydrocleis,nymphoides,,,,1,Marsh Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Alismataceae,Limnocharis parviflora,Limnocharis,parviflora,Hydrocleis parviflora,Hydrocleis,parviflora,,,,1,Marsh Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Alismataceae,Sagittaria guayanensis,Sagittaria,guayanensis,Sagittaria guyanensis,Sagittaria,guyanensis,,,,1,Marsh Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Alismataceae,Sagittaria rhombifolia,Sagittaria,rhombifolia,Sagittaria rhombifolia,Sagittaria,rhombifolia,,,,1,Marsh Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Achyranthes,Achyranthes,NA,Achyranthes sp,Achyranthes,NA,,,,1,Four-horned antelope or chousingha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Achyranthes aspera,Achyranthes,aspera,Achyranthes aspera,Achyranthes,aspera,,,,6,Mountain nyala,Bongo,Asian water buffalo,Nilgai,Bushbuck,Meenelik's bushbuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Aerva,Aerva,NA,aervas,aervas,NA,,,,1,"Indian gazelle, chinkara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Aerva javanica,Aerva,javanica,Aerva javanica,Aerva,javanica,Aerva persica,,,2,"Indian gazelle, chinkara",Common eland,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Aerva leucura,Aerva,leucura,Aerva leucura,Aerva,leucura,,,,1,Impala,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Alternanthera,Alternanthera,NA,Alternanthera sp.,Alternanthera,NA,,,,1,Grey Brocket Deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Alternanthera paronychioides,Alternanthera,paronychioides,Alternanthera paronychioides,Alternanthera,paronychioides,,,,1,Asian Water Buffalo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Alternanthera pungens,Alternanthera,pungens,Alternantha pungens,Alternantha,pungens,,,,2,Mountain reedbuck,Bushbuck,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Alternanthera sessilis,Alternanthera,sessilis,Alternanthera sessilis,Alternanthera,sessilis,Alternanthera nodiflora,,,2,Kob,Asian water buffalo,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Amaranthus,Amaranthus,NA,Amaranthus sp.,Amaranthus,NA,,,,2,Grey Brocket Deer,Baird's Tapir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Amaranthus caudatus,Amaranthus,caudatus,Amaranthus caudatus,Amaranthus,caudatus,,,,1,Asian Water Buffalo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Amaranthus dubius,Amaranthus,dubius,Amaranthus dubius,Amaranthus,dubius,,,,1,Bushbuck,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Amaranthus fimbriatus,Amaranthus,fimbriatus,Amaranthus fimbriatus [Torr.] Benth.,Amaranthus,fimbriatus,,,,1,Desert Bighorn Sheep,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Amaranthus hybridus,Amaranthus,hybridus,Amarantus hybridus,Amarantus,hybridus,,,,1,Blackbuck,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Amaranthus polygonoides,Amaranthus,polygonoides,Amaranthus polygonoides,Amaranthus,polygonoides,,,,1,Asian Water Buffalo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Amaranthus spinosus,Amaranthus,spinosus,Amaranthus spinosus,Amaranthus,spinosus,,,,1,Asian Water Buffalo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Amaranthus tricolor,Amaranthus,tricolor,Amaranthus tricolor,Amaranthus,tricolor,,,,1,Asian Water Buffalo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Anabasis,Anabasis,NA,Anabasis sp.,Anabasis,NA,,,,1,Asiatic/Indian wild ass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Anabasis articulata,Anabasis,articulata,Anabasis articulata,Anabasis,articulata,,,,1,Cuvier's gazelle,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Anabasis brevifolia,Anabasis,brevifolia,Anabasis brevifolia,Anabasis,brevifolia,,,,5,Goitered gazelle,Argali,Domestic sheep,Przewalski's Wild Horse,Asiatic/Indian Wild Ass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Atriplex,Atriplex,NA,Atriplex sp.,Atriplex,NA,,,,1,Asiatic/Indian wild ass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Amaranthaceae,Atriplex canescens,Atriplex,canescens,Atriplex canescens,Atriplex,canescens,,,,4,"Gemsbok, South African Oryx",Desert Bighorn Sheep,African Wild Ass,American Pronghorn,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
